soil_type,rainfall_mm,temp_high_c,temp_low_c,humidity_percent,sunlight_hours,wind_speed_kmph,temp_avg_c,recommended_crop
Loamy,248.9,34.7,16,22.1,7.3,11.1,25.4,Maize
Peaty,214.4,23.6,22.9,87.9,6.2,6,23.2,Groundnut
Red,43.2,36.5,11,65.9,7.9,11.9,23.8,Sesame
Laterite,129.4,25.5,8.6,56.1,9.7,20.6,17,Maize
Peaty,55.4,38.6,13.9,39.1,8.1,22.5,26.2,Sesame
Alluvial,386.3,27.3,9.9,66.1,4.1,15.1,18.6,Bajra
Calcareous,71.3,37.2,15.6,45.5,4.6,20.1,26.4,Chana
Alluvial,77.7,25.3,10.5,69.2,9.8,7.9,17.9,Tur
Peaty,358,30.3,22.3,67.8,7.2,26.1,26.3,Barley
Sandy,378.7,22.1,17.1,26.5,10.3,26.2,19.6,Tur
Laterite,311,33.2,5,83.6,9.2,11,19.1,Rice
Laterite,22.1,36.7,21.1,54.1,8.7,17.3,28.9,Cotton
Black,20.5,34.4,11.6,47.5,11.2,19,23,Cotton
Laterite,163.7,30.5,11.4,86.9,4.2,15.2,21,Rice
Red,74.5,20.9,12.7,50.7,5.2,27.5,16.8,Mustard
Laterite,27,38.7,17.6,70.5,9,22.7,28.2,Sesame
Peaty,196.3,34.1,13.8,65.9,4.5,20.8,24,Bajra
Black,378.4,34.9,17.6,31.6,9.2,16.6,26.2,Cotton
Peaty,143.1,35.9,7.9,89.4,11.9,4.4,21.9,Sugarcane
Peaty,271.2,35,24.4,52.5,11,5,29.7,Bajra
Saline,267.8,28.8,19.6,47.6,8.7,10.4,24.2,Sugarcane
Black,115.4,34.7,10,84.4,11.2,7.9,22.4,Barley
Peaty,267.2,32.5,19.5,57,4.9,28.7,26,Groundnut
Saline,100.7,37.1,16.5,69.4,7.6,13.5,26.8,Bajra
Saline,66.4,36,7.2,79.2,7.4,26.5,21.6,Mustard
Black,286.5,20.8,8.6,36.5,6.7,24.9,14.7,Chana
Alluvial,63.1,27.6,5.8,31.9,4,24.8,16.7,Groundnut
Sandy,398.8,20.7,21.2,24.8,11.1,8,21,Cotton
Red,89.7,22,16,82.8,10.2,14.5,19,Tur
Sandy,245.8,32,11.3,34,9.2,10.9,21.6,Sesame
Laterite,176.3,37.5,7.5,41.5,5,29.2,22.5,Bajra
Red,68,22.4,14.7,40,7,26.5,18.5,Maize
Laterite,30.6,29,15.5,41.3,11.4,9,22.2,Bajra
Peaty,256.6,38.2,19,66.8,8.9,10.8,28.6,Barley
Calcareous,326.6,36.3,24.4,86.8,8.8,16.8,30.4,Tur
Black,340,30.4,13.7,43.1,11.3,9.8,22,Wheat
Red,203.4,35.4,13.1,48.5,8.5,25.1,24.2,Groundnut
Red,315.4,30.5,12.4,74,8.8,24.9,21.4,Tur
Peaty,275.7,23.2,21.5,50.3,6.8,22.3,22.4,Rice
Alluvial,295.2,22.5,8.1,84.8,7,21.3,15.3,Mustard
Saline,207.2,23.8,11.9,55.2,9.5,17.3,17.8,Maize
Peaty,260.7,27,19.5,44.3,6.6,11.7,23.2,Chana
Clayey,326.1,38.6,5.3,88,8.5,25.4,22,Barley
Saline,171.2,36,10.8,49.8,6.2,26,23.4,Wheat
Black,326.3,28.7,17.8,36.2,5.3,3.4,23.2,Groundnut
Saline,245,29.9,8.7,32.4,7.6,13.2,19.3,Sesame
Alluvial,83,25.3,11.1,89.7,5.7,2.7,18.2,Barley
Saline,29.4,34.1,14.7,72.7,11.2,25.5,24.4,Cotton
Black,157.8,36.1,13.4,48.6,6.4,7,24.8,Cotton
Alluvial,227.7,24.8,7.1,77.8,8.8,20.9,16,Sugarcane
Sandy,339.1,20.8,23.8,58.3,6.1,12,22.3,Sesame
Red,68.4,32.5,5.9,42.2,6.1,24.8,19.2,Cotton
Red,324.1,31.3,20,72,6.8,16.3,25.6,Bajra
Laterite,347.9,28,6.4,72.2,11.3,11.1,17.2,Rice
Sandy,77.3,32.9,14.3,55,7.1,11.1,23.6,Chana
Sandy,343.6,31,8.5,23.2,10.6,11.2,19.8,Groundnut
Saline,396.8,25,7.8,25.4,5.6,24.1,16.4,Soybean
Red,296.2,28,7.5,75.2,4.4,21.9,17.8,Cotton
Black,318.2,28.6,14.1,77.6,10.3,10.9,21.4,Rice
Loamy,397.9,37.6,15.3,67.5,8.3,15.7,26.4,Soybean
Loamy,250.1,39.2,7.7,78.7,8,4.1,23.5,Soybean
Alluvial,137,37.9,24.6,70.4,6.2,25.2,31.2,Wheat
Red,338.3,34.4,10.2,82.8,4.6,9.4,22.3,Tur
Red,253.5,31.7,14.2,30.5,7.9,26.9,23,Rice
Loamy,240.9,33.8,9.3,47.1,10.9,18.7,21.5,Chana
Red,116.4,38.8,14.9,52.5,5,17.9,26.8,Groundnut
Saline,307.4,25,20.1,40.8,11.4,6.6,22.6,Soybean
Clayey,51,30.7,15.4,70.8,6.2,3.9,23,Bajra
Calcareous,371.2,33.8,10.7,83.9,8.3,17.5,22.2,Barley
Sandy,143.8,33.6,10,48.9,4.5,15.1,21.8,Cotton
Laterite,68.6,25,20.2,85.9,7.4,5.4,22.6,Maize
Alluvial,188.1,31.7,7.4,56.2,5,25.4,19.6,Cotton
Clayey,36.1,35.9,12.4,56.6,4.4,13.7,24.2,Soybean
Loamy,280.2,29.5,8,62,11.7,9.3,18.8,Groundnut
Sandy,363,35.9,10.2,38.8,9.8,24.1,23,Wheat
Red,338.2,27.2,8.1,46.8,9.8,27.6,17.6,Rice
Laterite,68.4,38.8,22.7,58.7,4.7,10.6,30.8,Groundnut
Red,68,30.7,19.6,85.9,11.4,23.7,25.2,Maize
Black,329.1,31.9,16.2,65,7.8,20.3,24,Wheat
Black,371.2,20.6,9.5,43.3,10.8,29.7,15,Bajra
Laterite,195.1,23.4,15.2,20.7,4.1,7.7,19.3,Soybean
Laterite,209.6,32.7,15.4,88.7,6.4,28.9,24,Rice
Loamy,140.9,28.4,16.8,54.5,12,10.8,22.6,Maize
Laterite,359.8,30.2,6.2,85.7,7.4,13.5,18.2,Rice
Saline,265.1,21.3,24.5,58.5,11.1,12,22.9,Sugarcane
Red,129.5,36.7,14.3,62.4,6.6,9.5,25.5,Groundnut
Clayey,133.5,35.7,23.5,69.8,8.2,21.4,29.6,Sugarcane
Peaty,358.7,23.7,5.2,42.5,10.8,18.5,14.4,Tur
Laterite,25.2,32.7,10,68.9,8.8,10.6,21.4,Maize
Alluvial,142.6,36.4,7.1,56.9,9.8,5.7,21.8,Wheat
Black,230.7,32.8,20.4,67.1,5.8,10.9,26.6,Cotton
Saline,76.3,26.2,11.4,78.5,5.2,12.7,18.8,Maize
Sandy,55,33.1,21.8,32.9,5.8,12.7,27.4,Sesame
Peaty,329.8,24.2,21.6,62.9,7.9,12,22.9,Tur
Clayey,359.9,26.4,18.4,23.6,10.4,3.4,22.4,Maize
Peaty,333,24.8,18.3,27.1,6.8,15,21.6,Maize
Laterite,361.5,31.1,19,67.2,8.5,25.4,25,Bajra
Loamy,230.2,22.2,18.5,25,10.4,7.1,20.4,Sesame
Black,328.7,38.7,12.7,61.7,5.9,6.1,25.7,Cotton
Black,165.9,26.7,18.7,35.4,11.1,15.2,22.7,Sugarcane
Sandy,273.2,24.4,22.9,41.3,11.6,12.4,23.6,Wheat
Loamy,395.8,29.9,11.7,29.1,4.3,17.7,20.8,Tur
Red,105.8,25.5,23.9,37.4,4.5,28.5,24.7,Groundnut
Calcareous,168.2,30.7,5.3,77.5,4.7,23.3,18,Sugarcane
Saline,202.4,27,12,64.7,10.2,21.2,19.5,Tur
Black,72.4,22.6,7.6,86.5,5.5,13.6,15.1,Rice
Alluvial,50.8,25.3,7.5,23.4,9.8,10,16.4,Groundnut
Black,335.3,28.8,21.3,75.5,7.5,17.1,25,Barley
Peaty,391.2,20.6,23.4,68.9,10.7,26.8,22,Wheat
Black,173.8,35.4,20.6,38.3,10.5,26.5,28,Soybean
Black,53.3,32.4,24.5,71,11.7,14.5,28.4,Rice
Calcareous,45,32,9.3,70.2,6,8.9,20.6,Rice
Calcareous,358.7,30.9,7.8,52.2,5.8,8.3,19.3,Bajra
Clayey,196.2,31.8,15.4,68.2,4.3,3,23.6,Barley
Red,141.6,38.7,21.6,51.1,7.3,25.6,30.2,Rice
Alluvial,201.1,20.2,5.8,43.5,7.7,9.4,13,Cotton
Black,141,21,24.9,52.7,11.7,12.1,23,Sugarcane
Black,205.8,23.8,17,82.7,10.6,24.7,20.4,Chana
Saline,346.6,23.3,24.6,46.9,5.3,5.4,24,Wheat
Calcareous,245.1,23.6,12.3,48.3,10.4,14.9,18,Wheat
Alluvial,284,33.4,14.2,62.6,5.4,5.4,23.8,Wheat
Sandy,158.6,29.2,20,72.7,4.6,14.4,24.6,Wheat
Clayey,300.6,39.8,20.9,71.4,10.7,3.3,30.4,Maize
Red,273.3,24.5,9.7,21.4,11.8,16.5,17.1,Maize
Loamy,65.4,26.2,23.6,68.1,4.7,24.3,24.9,Wheat
Red,237.6,39.7,22.3,51.5,10.5,20.9,31,Mustard
Peaty,117.6,36.6,5.4,56.7,10.9,16.3,21,Bajra
Black,325.6,29.4,7.6,59.3,5,25.2,18.5,Sesame
Clayey,181.9,31.1,14.9,71.2,6.3,8.4,23,Soybean
Peaty,398,36.9,14.2,78.2,9.9,25.3,25.5,Sugarcane
Alluvial,55.2,29.6,19.2,65.2,10.5,9.7,24.4,Cotton
Loamy,316.5,24.1,6.8,59.5,6.8,12.1,15.4,Wheat
Calcareous,276,36.6,17.9,46.2,5.3,5.6,27.2,Rice
Clayey,311.6,30.8,17.3,29.7,9.2,4.8,24,Rice
Clayey,136.9,23.1,9.7,87.1,9.6,28.1,16.4,Bajra
Black,207,30.1,15.8,52.3,8,7.3,23,Soybean
Laterite,322.7,28.3,9.4,59.6,5.2,11.3,18.8,Groundnut
Clayey,108.4,37.5,7.9,72.6,10.8,16.8,22.7,Chana
Saline,105.9,22.5,16.5,24.8,9.2,11.7,19.5,Cotton
Loamy,229.4,37.5,24.5,79.9,11,26.4,31,Maize
Loamy,219,30.2,9.7,75.8,11.5,27.2,20,Soybean
Saline,127.3,28.1,12.1,74.2,10.4,11.1,20.1,Groundnut
Sandy,133.3,23.2,10.1,21.5,11.7,4.6,16.6,Soybean
Saline,125.6,34,10.3,56.9,11.6,7.9,22.2,Rice
Saline,313.2,38.5,13.1,23.8,9,15.3,25.8,Rice
Loamy,267.7,27.5,19,58.6,9.8,10.1,23.2,Barley
Red,336.3,24.8,5.8,70.3,9.6,14.7,15.3,Mustard
Loamy,390.7,31.1,24.1,28.5,9,23.2,27.6,Tur
Laterite,200.2,35.9,5.9,68.6,4.2,13.8,20.9,Rice
Black,45.3,20.1,22.6,51.5,6.8,7.5,21.4,Mustard
Peaty,38.3,32.6,22.9,76.8,4.8,12,27.8,Bajra
Red,132.4,31.9,15.5,57.4,6.4,22.8,23.7,Groundnut
Calcareous,374.4,26.4,7.7,43.5,4.5,13.9,17,Chana
Peaty,218.8,29,16.3,43.2,11.4,9,22.6,Groundnut
Black,123.3,24.9,17.6,82.8,7.6,14,21.2,Rice
Laterite,171.7,35.8,22.2,51.7,5.5,14.7,29,Mustard
Laterite,247.5,32.7,16,48.4,8.7,10.3,24.4,Barley
Calcareous,268.1,30.7,13.2,22.8,5.6,29.9,22,Sesame
Red,78.5,27.9,21.8,45.5,10.4,23.5,24.8,Chana
Sandy,391.3,25.8,24.6,79.5,6.4,21.4,25.2,Rice
Saline,227,36.5,17.9,73.3,6.5,25.9,27.2,Barley
Red,71.6,29,22.5,35.5,11,20.7,25.8,Maize
Sandy,359.6,30,17,48.9,8.5,24.1,23.5,Soybean
Laterite,48.4,30.4,18.8,33.8,11.1,13.6,24.6,Tur
Loamy,364.9,29,18.8,86.8,7.3,16,23.9,Tur
Black,398.7,25.1,19.1,61.9,6.8,3.3,22.1,Mustard
Calcareous,286.2,22.4,11.4,72.8,8,9.9,16.9,Sesame
Black,312.8,22,16.5,70,4.5,12.3,19.2,Barley
Alluvial,148.2,35.1,16.9,81.2,5.2,19.5,26,Wheat
Alluvial,377.8,24.5,11.3,86.5,5.8,15,17.9,Groundnut
Red,221.3,21.1,12,22.3,10.5,19,16.6,Cotton
Laterite,298.3,36,20.2,88.3,9.9,22,28.1,Rice
Laterite,371.2,23.1,16.7,80.9,5.5,3.2,19.9,Sesame
Saline,390.6,32.5,8,46.8,6.2,9.2,20.2,Tur
Saline,336.6,26.8,21.8,78.6,11.6,6.8,24.3,Sugarcane
Saline,135.1,22.5,22.7,71.6,4.7,7.2,22.6,Maize
Loamy,387.3,28.3,14.3,75.5,8.4,16.1,21.3,Wheat
Peaty,258.7,20.3,9.2,35.4,8.2,22.7,14.8,Rice
Clayey,373.6,36.8,24,65.4,9.8,9.6,30.4,Rice
Peaty,276.9,30.3,22.6,21.8,6.1,25.1,26.4,Maize
Black,136.8,22.8,9.9,79.4,11.5,27,16.4,Rice
Peaty,160.6,24.7,6.9,86.6,7.3,11.8,15.8,Cotton
Loamy,229.2,29,13.8,66.3,6.3,21.1,21.4,Tur
Black,320.2,23.8,18.5,55.9,6.7,5.3,21.2,Soybean
Peaty,140.8,25.4,8.5,70.8,6.8,22.8,17,Rice
Loamy,240.3,30.7,15.3,42.8,5.6,6.6,23,Maize
Clayey,151.3,36.7,13.5,63.8,11.4,21.2,25.1,Wheat
Peaty,330,28,22.8,70.3,5.4,13.8,25.4,Chana
Loamy,197.4,34.3,13.6,30,11.1,28,24,Maize
Saline,49.2,37.5,15.7,29.8,7.2,15,26.6,Maize
Laterite,83.1,24.3,24.1,70.1,6.2,2.9,24.2,Rice
Saline,43.2,36.1,11,50.2,5.6,15.5,23.6,Wheat
Laterite,209.7,35.1,10.8,82.2,8,24.3,23,Rice
Calcareous,60.4,27.1,21,41.8,9.4,20.1,24,Sesame
Calcareous,63.4,39.8,10.6,23,11.2,29.1,25.2,Maize
Calcareous,377.6,25.3,21.6,65.5,9.2,25.6,23.5,Wheat
Clayey,351.6,25.1,6.9,67.9,7.9,16.7,16,Sesame
Saline,191.8,35.4,7.2,58.8,4.3,7.8,21.3,Cotton
Laterite,394.6,28.7,23,67.8,11.3,2.1,25.8,Barley
Loamy,20.1,26.6,15.8,56.7,11.2,29.5,21.2,Sugarcane
Black,253.3,23.6,19.4,68.5,7,28.3,21.5,Sugarcane
Loamy,254.2,35.3,9.5,23.1,4.2,9.7,22.4,Maize
Black,193.8,35.7,8.3,45.8,9.9,19.9,22,Cotton
Alluvial,170.8,31.3,21.7,34.8,10.3,22.4,26.5,Wheat
Loamy,193,39.1,12.2,27,8.3,18.2,25.6,Maize
Peaty,177.7,26.4,14.1,36.4,7.2,25.6,20.2,Rice
Peaty,297.6,24.4,5.6,33.4,10.8,4.2,15,Mustard
Red,71.4,33.5,12.7,88.1,5.5,27.1,23.1,Mustard
Saline,95.1,35.2,20.4,40.1,7.5,13,27.8,Maize
Black,88.6,24.5,21.4,36.2,4.2,15.5,23,Soybean
Black,119.7,21.5,19,78.4,5.3,14.5,20.2,Chana
Saline,219.6,36.2,18.8,49.3,11.5,16.9,27.5,Chana
Clayey,62.3,39.5,15.1,49.5,8.6,18.7,27.3,Soybean
Red,349.9,32.9,15.8,51.1,10.4,21.9,24.4,Maize
Clayey,133,25.6,19.9,49.2,7.9,16.7,22.8,Wheat
Clayey,81.8,39.9,9.9,42.9,10.7,21.2,24.9,Sesame
Clayey,276.7,37.9,9.6,40,8.3,11.5,23.8,Tur
Saline,34.5,30.3,24,81.7,4,28.2,27.2,Soybean
Clayey,255.6,36.5,5.6,31.3,11.2,3.8,21,Soybean
Peaty,285.3,36.3,7.8,32.7,5.2,17.3,22,Soybean
Calcareous,101.7,38.7,16.4,60,7.6,4.4,27.6,Groundnut
Alluvial,35.9,36.8,19.8,44.1,7.8,14.4,28.3,Rice
Black,158.2,32.9,15.8,49.5,4.4,9.2,24.4,Tur
Black,57.5,32.2,12.1,76.5,4.4,28.2,22.2,Tur
Alluvial,64.3,29.3,24.6,83.3,10.1,2.4,27,Mustard
Saline,116.6,32.5,19.1,75.3,6.4,13,25.8,Soybean
Loamy,132.3,35.9,21.6,36.4,7.3,23.9,28.8,Maize
Saline,221.4,39.4,5.8,88.6,8.5,7.3,22.6,Bajra
Black,277.8,29.3,9.7,45.4,7,24.8,19.5,Wheat
Black,245.3,31.5,12.5,31.8,10.2,26.1,22,Cotton
Alluvial,76.4,28.9,8.7,55,11.1,21.8,18.8,Maize
Clayey,85.4,33.4,6.5,70.8,4.5,7.9,20,Soybean
Saline,353.9,32.6,9.5,25.8,9.1,9.6,21,Sesame
Laterite,232.2,20.4,15.7,64.4,6.5,6.7,18,Rice
Alluvial,350.6,30.8,18.9,80.1,8.7,7.2,24.8,Cotton
Peaty,161.2,21.8,20.5,38.3,7.9,3,21.2,Sugarcane
Black,253.5,20.5,5.9,68.5,6.7,26,13.2,Sugarcane
Alluvial,219,35.8,13.6,48,4.8,16.8,24.7,Wheat
Saline,141.3,25.2,7.4,49,8.5,11.2,16.3,Rice
Black,198.6,26.8,13.6,39.7,4.9,10.1,20.2,Bajra
Loamy,210.9,21.3,13.7,63.7,5.2,17.3,17.5,Rice
Alluvial,96.3,23.6,15,45.3,11.9,11.1,19.3,Sesame
Red,139.7,35.3,22.9,78.2,6.5,26.2,29.1,Groundnut
Black,320.7,29.9,21.1,87.4,8.7,7.9,25.5,Cotton
Saline,368,37.6,17.7,85.5,6.2,26.7,27.6,Rice
Calcareous,156.7,27.9,22.7,31.4,10.9,20.6,25.3,Bajra
Laterite,136.6,25.4,18.6,21,6.3,28.8,22,Cotton
Sandy,94.2,27,21.4,50.7,6.9,2.4,24.2,Maize
Clayey,277.8,34.3,16.3,71,8.9,3.7,25.3,Soybean
Sandy,142.8,31.1,15.5,88.4,11,16,23.3,Soybean
Saline,395.3,38.1,19.5,74.8,10.5,27.5,28.8,Maize
Peaty,143.8,32,5.4,60.6,6.1,22.5,18.7,Rice
Peaty,169.8,29.9,18.8,21.8,10.6,19.4,24.4,Sugarcane
Calcareous,249.3,35.7,23.7,77.8,9.6,2.9,29.7,Sugarcane
Clayey,324.6,39,19.3,32.4,11.9,11.9,29.2,Bajra
Red,198.4,27.1,5.7,23.9,11.5,11.7,16.4,Cotton
Calcareous,180.6,25,12.6,79.5,8.3,17.2,18.8,Rice
Sandy,398.3,32.3,21.2,59.6,10,9.2,26.8,Sesame
Calcareous,24,30,24.2,29,8.6,9.5,27.1,Soybean
Sandy,360.1,39.8,12.4,47.1,8.8,19.4,26.1,Sesame
Black,76.7,29.2,21.8,26,4.8,28.4,25.5,Groundnut
Peaty,318.7,21.5,22.3,64.7,4,20.5,21.9,Barley
Black,254.8,39.5,7.5,39.8,4.4,20.7,23.5,Bajra
Laterite,149.9,36.9,21.9,80.6,11.7,29.6,29.4,Bajra
Clayey,352.1,23.6,11.5,45,5,6.3,17.6,Mustard
Red,24.9,38.1,16.9,54.6,4.4,2.9,27.5,Cotton
Sandy,106.1,26.8,15.8,24.4,6.5,22.9,21.3,Mustard
Red,235.4,27.5,18.3,39.3,8.7,14.3,22.9,Groundnut
Sandy,153.6,38.1,19.8,67.4,11.6,14,29,Mustard
Saline,251.9,30.6,13.8,71.5,9.6,8.3,22.2,Bajra
Calcareous,29.2,22.8,22.8,37,6.2,16.2,22.8,Cotton
Laterite,64.3,27.4,21.2,55.3,11.5,14.4,24.3,Sesame
Peaty,68.3,34.4,20.7,77.2,4.3,11.7,27.6,Soybean
Sandy,91.9,23.5,14.2,46.6,11.8,14.4,18.8,Barley
Red,194.5,31.8,5.8,29.4,4.5,12.7,18.8,Sesame
Laterite,305.8,33.9,14.8,50.2,10,28.3,24.4,Bajra
Loamy,364.1,26.9,23,62,4.4,29.4,25,Groundnut
Loamy,337.4,33.9,8.8,20.5,11.5,25.5,21.4,Rice
Black,94.8,37.7,24.7,44.4,4.9,29.7,31.2,Wheat
Peaty,187.6,29.4,21.2,62.5,4.4,9.4,25.3,Chana
Saline,95.8,27.7,19.2,86.6,11.1,25.6,23.4,Bajra
Red,120.5,25,18.5,48.6,4.8,13.4,21.8,Groundnut
Calcareous,211.3,32.1,16.7,31.4,10.4,22.9,24.4,Groundnut
Calcareous,45.9,37.6,19.4,57.4,10,7.6,28.5,Wheat
Red,102.9,26.5,13.4,40,8.8,24.7,20,Maize
Clayey,375.4,27.9,21.9,35,7,4.3,24.9,Soybean
Saline,197.1,28.1,18.9,61.3,11.3,9.6,23.5,Tur
Laterite,189.2,31.2,20.4,84.1,11,25,25.8,Rice
Sandy,25.5,24.6,20.8,78.5,7.4,22.9,22.7,Maize
Clayey,114,36.4,6.8,32.8,5.9,16,21.6,Bajra
Sandy,349.2,25.9,6.1,73.6,6.2,20.8,16,Groundnut
Sandy,82.6,34.1,21,36.1,5.8,7.2,27.6,Sesame
Clayey,177.7,30.3,10.2,40.3,8.3,20.7,20.2,Bajra
Black,25.4,31.7,16.6,84.4,10.9,2.2,24.2,Rice
Loamy,201.8,23.6,13.9,83.8,10.2,25.3,18.8,Sugarcane
Sandy,28,34.7,5.4,31.8,10.4,16.5,20,Soybean
Clayey,331.5,23.8,5.8,24.5,7.6,28.4,14.8,Soybean
Clayey,333.4,22.3,21.5,40.5,6.6,15.4,21.9,Wheat
Alluvial,319.3,30.9,17.2,60.7,10.1,14.1,24,Chana
Black,127.7,34.2,15.5,81.4,10.3,14.6,24.8,Rice
Peaty,338.2,21,23.9,28.3,9.6,12.1,22.4,Rice
Alluvial,226.3,21.4,8.5,49,4.3,6.7,15,Chana
Alluvial,162,36.1,10.2,39,8.7,25.6,23.2,Wheat
Red,257.6,36.2,20.1,21,6.8,12.9,28.2,Groundnut
Loamy,24.7,24.9,20.5,75.2,5.6,16.8,22.7,Wheat
Clayey,74.3,32.3,13.1,76.9,9.6,2.6,22.7,Barley
Loamy,302.1,28.9,24,35.5,6.1,3.7,26.4,Wheat
Saline,112.8,32.7,23.8,30.6,11.3,18.7,28.2,Soybean
Red,247.2,37.3,5.2,30.1,6.4,26.6,21.2,Groundnut
Peaty,166.3,21.6,8.4,52.5,8.4,15.8,15,Mustard
Loamy,344.8,35.6,21.4,37.3,10.6,6.6,28.5,Tur
Calcareous,381.9,29.9,11.7,55.8,7.2,5.3,20.8,Chana
Sandy,355.8,31.3,6.9,46.9,10.6,27.2,19.1,Sesame
Saline,122.8,33.1,20.7,34.8,9.8,21.6,26.9,Sesame
Black,93.8,38.5,14.1,72.6,11.4,29.1,26.3,Sesame
Peaty,200.3,21.1,14.8,30.5,6.6,4.3,18,Maize
Saline,22.8,20.6,8.7,75.9,4.8,27.3,14.6,Bajra
Sandy,29.8,23.6,18.2,59.3,7.4,25.7,20.9,Groundnut
Red,230.3,39.7,16,78.2,10.3,27,27.8,Groundnut
Sandy,217.8,34.3,9.1,20.3,7.6,2.2,21.7,Tur
Alluvial,397.9,32.3,11.8,72.4,6.1,22.8,22,Cotton
